nlongmapsfrom, does not map from ,,,
nni, does not own ,,,
nparallel, not parallel to ,,,
nperp, not perpendicular to ,,,
notin, is not a member of ,,,
nowns, does not own ,,,
nsimeq, is not similar or equal to ,,,
parallel, parallel to ,,,
perp, perpendicular to ,,,
propto, is proportional to ,,,
owns, owns ,,,
sim, is similar to ,,,
simeq, is similar or equal to ,,,
therefore, therefore ,,,
,,,,
subset, is a proper subset of ,,,Subset and Superset Relations
subseteq, is a subset of ,,,
supset, is a proper superset of ,,,
supseteq, is a superset of ,,,
nsubseteq, is not a subset of ,,,
nsupseteq, is not a superset of ,,,
,,,,
ge, greater than or equal to ,,,Inequalities
geq, greater than or equal to ,,,
geqq, greater than or equal to ,,,
geqslant, greater than or equal to ,,,
gg, much greater than ,,,
ggg, triple much greater than ,,,
gtrapprox, greater than or approximately equal to ,,,
gtreqless, greater than equal to or less than ,,,
gtreqqless, greater than equal to or less than ,,,
gtrless, greater than or less than ,,,
gtrsim, greater than or similar to ,,,
le, less than or equal to ,,,
leq, less than or equal to ,,,
leqq, less than or equal to ,,,
leqslant, less than or equal to ,,,
lessapprox, less than or approximately equal to ,,,
lesseqgtr, less than equal to or greater than ,,,
lesseqqgtr, less than equal to or greater than ,,,
lessgtr, less than or greater than ,,,
lesssim, less than or similar to ,,,
ll, much less than ,,,
lll , triple much less than ,,,
ngeq, not greater than or equal to ,,,
ngeqq, not greater than or equal to ,,,
ngeqslant, not greater than or equal to ,,,
ngg, not much greater than ,,,
ngtr, not greater than ,,,
ngtrapprox, not greater than or approximately equal to ,,,
ngtrless, not greater or less than ,,,
ngtrsim, not greater than or similar to ,,,
nleq, not less than or equal to ,,,
nleqq, not less than or equal to ,,,
nleqslant, not less than or equal to ,,,
nless, not less than ,,,
nlessapprox, not less than ot approximately equal to ,,,
nlessgtr, not less than or greater than ,,,
nlesssim, not less than or similar to ,,,
nll, not much greater than ,,,
,,,,
Downarrow, thick down arrow ,,,Arrows
downarrow, down arrow ,,,
hookleftarrow, hook left arrow ,,,
hookrightarrow, hook right arrow ,,,
implies, implies ,,,
leadsto, leads to ,,,
leftarrow, left arrow ,,,
Leftarrow, thick left arrow,,,
Leftrightarrow, thick left and right arrow ,,,
leftrightarrow, left and right arrow ,,,
longleftarrow, long left arrow ,,,
Longleftarrow, thick left arrow ,,,
longleftrightarrow, long left and right arrow ,,,
Longleftrightarrow, long thick left and right arrow ,,,
longmapsto, long maps to arrow ,,,
Longrightarrow, long thick right arrow ,,,
longrightarrow, long right arrow ,,,
Lsh, corner arrow ,,,
mapsto, maps to arrow ,,,
nearrow, north east arrow ,,,
nwarrow, north west arrow ,,,
Rightarrow, thick right arrow ,,,
rightarrow, right arrow ,,,
searrow, south east arrow ,,,
swarrow, south west arrow ,,,
uparrow, up arrow,,,
Uparrow, thick up arrow ,,,
updownarrow, up and down arrow ,,,
Updownarrow, thick up and down arrow ,,,
to, tends to ,,,
leftharpoondown, left harpoon down arrow ,,,
leftharpoonup, left harpoon up arrow ,,,
rightharpoondown, right harpoon down ,,,
rightharpoonup, right harpoon up ,,,
rightleftharpoons, right and left harpoon arrows ,,,
circlearrowleft, counter clockwise circle arrow ,,,
circlearrowright, clockwise circle arrow ,,,
Lleftarrow, large left arrow ,,,
Rrightarrow, large right arrow ,,,
nLeftarrow, negated thick left arrow ,,,
nleftarrow, negated left arrow ,,,
nLeftrightarrow, negated thick left and right arrow ,,,
nleftrightarrow, negated left and right arrow ,,,
nRightarrow, negated thick right arrow ,,,
nrightarrow, negated right arrow ,,,
,,,,
arccos, arc cosine of ,,,Log-Like Symbols
arcsin, arc sine of ,,,
arctan, arc tangent of ,,,
cos, cosine of ,,,
cosh, hyperbolic cosine of ,,,
cot, cotangent of ,,,
coth, hyperbolic cotangent of ,,,
csc, cosecant of ,,,
exp, exponential of ,,,
lim, in the limit as ,,,
ln, natural logarithm of ,,,
log, logarithm of ,,,
sec, secant of ,,,
sin, sine of ,,,
sinh, hyperbolic sine of ,,,
tan, tangent of ,,,
tanh, hyperbolic tangent of ,,,
arcosh, inverse hyperbolic cosine of ,,,
arcoth, inverse hyperbolic cotangent of ,,,
arcsch, inverse hyperbolic cosecant of ,,,
arsech, inverse hyperbolic secant of ,,,
arsinh, inverse hyperbolic sine of ,,,
artanh, inverse hyperbolic tangent of ,,,
csch, hyperbolic cosecant of ,,,
sech, hyperbolic secant of ,,,
,,,,
alpha, alpha ,,,Greek Letters
beta, beta ,,,
gamma, gamma ,,,
delta, delta ,,,
epsilon, epsilon ,,,
varepsilon, epsilon ,,,
zeta, zeta ,,,
eta, eta ,,,
theta, theta ,,,
vartheta, theta ,,,
iota, iota ,,,
kappa, kappa ,,,
lambda, lambda ,,,
mu, mu ,,,
nu, nu ,,,
xi, xi ,,,
pi, pi ,,,
varpi, pi ,,,
rho, rho ,,,
varrho, rho ,,,
sigma, sigma ,,,
varsigma, sigma ,,,
tau, tau ,,,
upsilon, upsilon ,,,
phi, phi ,,,
varphi, phi ,,,
chi, chi ,,,
psi, psi ,,,
omega, omega ,,,
Gamma, uppercase gamma ,,,
Delta, uppercase delta ,,,
Theta, uppercase theta ,,,
Lambda, uppercase lambda ,,,
Xi, uppercase xi ,,,
Pi, uppercase pi ,,,
Sigma, uppercase sigma ,,,
Upsilon, uppercase upsilon ,,,
Phi, uppercase phi ,,,
Psi, uppercase psi ,,,
Omega, uppercase omega ,,,
,,,,
ell, math l ,,,Letter-Like Symbols
forall, for all ,,,
hbar, h bar ,,,
Im, imaginary ,,,
imath, math i ,,,
jmath, math j ,,,
partial, partial derivative ,,,
Re, real ,,,
,,,,
ddot, double dot ,,,Extensible Accents
hat, hat ,,,
tilde, tilde ,,,
widetilde, tilde ,,,
overleftarrow, overline left arrow ,,,
overline, overline ,,,
overbrace, overbrace ,,,
sqrt, root of ,,,
widehat, hat ,,,
overrightarrow, overline right arrow ,,,
underline, underline ,,,
underbrace, underbrace ,,,
longdivison, long division of ,,,
,,,,
cdotp, dot ,,,Dots
cdots, horizontal dots ,,,
ddots, diagonal dots ,,,
dot, dot ,,,
dotsc, horizontal dots ,,,
dotsc, horizontal dots ,,,
dotsi, horizontal dots ,,,
dotsm, horizontal dots ,,,
dotso, horizontal dots ,,,
hdots, horizontal dots ,,,
ldotp, dot ,,,
ldots, horizontal dots ,,,
vdots, vertical dots ,,,
,,,,
AC, alternating current symbol ,,,Symbols
angle, angle symbol ,,,
astrosun, solar symbol ,,,
bra, bra ket ,,,
braket, bra ,,,
Box, box symbol ,,,
celsius, celsius ,,,
degree, degree ,,,
dprime, double prime ,,,
emf, electromotive force symbol ,,,
emptyset, empty set ,,,
eth, spin weighted partial derivative ,,,
gluon, gluon symbol ,,,
infty, infinity ,,,
ket, ket ,,,
measuredangle, measured angle symbol ,,,
micro, micro ,,,
nabla, nabla ,,,
ohm, ohm ,,,
photon, photon symbol ,,,
prime, prime ,,,
qprime, quadruple prime ,,,
sphericalangle, spherical angle symbol ,,,
surd, surd ,,,
triangle, triangle ,,,
trprime, triple prime ,,,
,,,,
bm, bm ,,,Misc
mathcal, calligraphic ,,,
mathbb, blackboard bold ,,,
mathbf, bold ,,,
begin, ,,,
end, ,,,
hspace, (text spacing) ,,,
huge, huge ,,,
label, ,,,
left, ,,,
middle, ,,,
nonumber,,,,
not, does not ,,,
polylongdiv, workings for long division of ,,,
qquad, (text spacing) ,,,
quad, (text spacing) ,,,
right, ,,,
rotatebox, ,,,
rm, ,,,
Scale, ,,,
text, ,,,
,,,,
,  ,,,
